Steps	Distance
27	838.362883014616
23	302.130907467011
25	385.981019834569
25	756.467321375971
43	708.31951051738
25	567.442176503076
29	943.255687839221
22	523.160460569987
16	359.678148963563
22	384.914821755086
16	373.977570088104
8	376.200450771041
37	992.471714639531
32	1048.83978506964
24	653.751398652474
18	605.168916057557
16	414.517187483234
31	1371.11772344987
14	202.168121436546
39	724.479677371221
30	1462.01511843745
25	610.30711464548
24	280.293368867346
33	489.50603783333
17	993.444280690817
15	143.945188292681
25	787.309174350614
16	260.74328527561
18	1093.17290605565
12	875.287648422286
14	120.584929809258
34	844.930142593498
24	981.707256385405
11	1313.71856921301
26	869.839587844414
12	61.2187353838365
16	640.035230362177
20	910.276794711608
20	399.396043461171
37	451.55452942611
26	730.87680360271
29	1048.48840049282
37	1673.29451439273
29	1902.14733244627
28	1366.69101260725
22	336.547623987447
24	910.849959684118
16	610.729792475853
15	513.899345211821
23	599.518106842771
30	2075.01112717469
37	1878.38046503749
20	486.630760479899
13	474.388662290296
11	275.832722063599
31	910.562369509612
32	620.426403269402
19	103.063871880614
20	1731.26202738354
7	319.469809157008
11	398.736453245782
40	890.641345860491
20	190.168824751762
27	731.721180675076
11	383.011800104968
15	648.183997648034
14	239.310171468363
29	675.517708399669
12	709.60008353734
40	2041.42396231995
28	747.844832278498
16	798.404365166724
14	353.181188357537
11	313.896731371551
26	718.636991503067
30	1418.03137779258
17	466.437462595069
33	852.44658805917
24	807.857771039104
14	378.308719519403
15	281.122566522453
25	1140.46598765911
50	2304.01682657923
39	1295.67186050369
11	980.14905144415
39	1468.32891554369
22	403.63550238344
30	1709.29973447868
23	2016.27797370608
38	661.617698855203
34	672.431683286403
17	770.887702922214
23	823.669915276423
27	1831.12733931651
22	562.350802337011
26	1872.5644909089
17	309.731242320591
16	750.959625366345
33	1235.40213302926
24	1234.35306645177
65	1358.10427422196
33	603.699560385027
54	1625.20909562401
29	527.473322903212
11	362.44659442481
35	1075.80386937429
17	515.136031269356
27	431.775494826728
21	472.706877667501
23	579.536561638889
60	931.501631041701
16	356.748282015927
32	1910.35726563081
19	1348.92704819468
18	187.586453005875
29	1527.93572766708
27	216.555494563938
28	186.725372665107
15	648.233727400359
27	721.587852755362
21	949.639915966934
16	776.066119144705
20	1738.9110736643
32	984.459744132809
41	653.967413828908
43	1171.79285907764
23	137.019286861642
34	1734.56420770136
29	1776.65719159424
31	348.305654990858
37	148.982544346429
11	562.940960042575
37	769.421803553537
53	883.534954051389
27	515.911428231243
21	1263.35304044426
33	769.458831881986
34	458.026791570253
32	1796.98733158898
21	124.632918592171
35	1685.74649143256
20	234.956686173868
28	545.800838921531
25	1124.46712433807
33	321.506056033901
28	545.956571739266
28	891.489335642625
37	2044.2778532518
26	873.763674002444
14	293.915732725007
14	941.065186455207
36	1330.7779328818
7	49.2282165310098
33	2103.4363357728
32	701.291027226318
21	407.234971593635
16	187.715678023397
26	631.36641733307
17	1285.06817758637
31	221.198357511139
25	440.091923944107
21	95.2901799520213
28	573.688437620912
42	971.125424784878
28	709.940071512941
19	740.953942395573
31	631.009561465593
28	354.345788854695
24	636.092088454846
7	16.1011556040736
16	623.111005043342
38	1069.21180406145
35	1448.48481963601
14	425.485427508278
33	510.716694206607
37	813.259623797958
28	639.475623517652
22	595.018679402168
21	1123.63903206084
24	487.339852278786
20	199.887082194995
16	747.521467022912
22	2349.64496560309
27	1470.19836699025
17	666.814878488897
11	264.085583090713
16	305.820324718007
33	430.974871841449
19	1071.95060283548
12	304.672001842442
23	2062.8527484267
26	1076.20557232009
25	509.296778437651
18	1004.77860573472
46	863.277156546306
15	536.611429396433
18	260.00482827568
22	1469.35395314402
35	1050.87044237622
28	1393.91570570794
31	814.964853572462
23	455.253535972652
27	1786.9799106064
27	2296.58377674276
26	780.662298949108
30	1001.68129840199
40	1903.90226279222
21	795.314723268116
16	271.158275582436
25	1385.81322178174
18	1419.43054183617
18	182.256781038788
30	1617.6784037173
22	1312.90362103101
28	905.245427439452
16	243.52944859663
18	323.963385391695
43	1717.90899434262
36	795.102432567069
16	840.369861040744
25	504.481684701439
16	33.229393775336
31	799.616518810044
32	1108.66183640416
15	317.875791501523
37	418.752310546424
25	668.368320769299
18	208.148096232118
21	756.179184025184
28	297.629898567203
24	838.54055742688
36	707.821318364421
20	544.15867173253
19	622.589900879562
24	573.356761086271
19	541.632328849345
15	133.722721345225
31	884.030289624075
20	579.875869724798
28	786.578301162453
16	292.427351782776
20	986.534197990401
26	490.080886141258
16	983.214624537898
22	111.012011231762
27	137.830634159187
13	1216.5648460694
33	782.510989627153
19	522.644987039361
29	456.954724421615
48	1840.1823823506
17	409.168269100713
10	626.295751082509
17	775.183089523835
35	545.630850216511
36	300.897438691258
14	681.827288528631
23	83.8546813892388
31	731.502814382823
43	718.452294784919
18	438.2065060351
42	1157.29057978218
12	868.784593059975
32	447.150357994058
27	569.606112475377
37	2143.935807751
30	1309.24405011145
44	920.24104128554
35	675.304329468288
28	235.567710764633
22	1901.51453380653
34	357.335862835869
22	96.4939198292129
29	721.646192211889
10	71.2869535612521
34	1423.10452190651
24	332.004703444136
18	521.446985417484
28	525.649706470693
17	539.014346307918
40	1755.39729494574
18	408.468477811326
23	208.071688197699
